time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
['2022-08-30'],[23.9],[14.7],[21.9],[13.9],['2022-08-30T05:46'],['2022-08-30T19:32'],[15.13],[0.0],[0.0],[0.0],[0.0],[18.4],[38.2],[46],[3.74]
['2022-11-25'],[11.4],[5.4],[8.8],[2.5],['2022-11-25T08:12'],['2022-11-25T16:39'],[3.76],[5.9],[5.9],[0.0],[12.0],[20.4],[40.0],[228],[0.52]
['2022-09-28'],[13.8],[7.0],[11.6],[4.3],['2022-09-28T06:33'],['2022-09-28T18:25'],[10.25],[5.8],[5.8],[0.0],[11.0],[14.1],[29.2],[201],[1.35]
['2022-10-13'],[14.1],[10.9],[12.9],[8.9],['2022-10-13T06:58'],['2022-10-13T17:52'],[3.64],[3.2],[3.2],[0.0],[9.0],[15.8],[25.2],[239],[0.66]
['2022-06-14'],[20.6],[8.0],[19.2],[6.2],['2022-06-14T04:17'],['2022-06-14T21:01'],[24.56],[0.0],[0.0],[0.0],[0.0],[12.2],[21.6],[57],[4.19]
['2021-10-19'],[18.5],[13.8],[17.8],[12.3],['2021-10-19T07:09'],['2021-10-19T17:38'],[1.96],[0.7],[0.7],[0.0],[3.0],[24.6],[43.2],[208],[0.52]
['2021-10-13'],[13.7],[6.2],[11.6],[3.9],['2021-10-13T06:58'],['2021-10-13T17:51'],[5.22],[0.4],[0.4],[0.0],[2.0],[14.0],[27.4],[283],[1.03]
['2021-08-27'],[19.1],[11.6],[16.8],[9.7],['2021-08-27T05:41'],['2021-08-27T19:38'],[14.2],[0.0],[0.0],[0.0],[0.0],[21.3],[46.1],[337],[2.5]
['2022-06-24'],[23.9],[18.0],[25.5],[18.5],['2022-06-24T04:18'],['2022-06-24T21:04'],[12.09],[30.6],[30.6],[0.0],[21.0],[14.2],[25.6],[217],[2.31]
['2022-05-06'],[20.7],[7.8],[19.9],[6.2],['2022-05-06T04:58'],['2022-05-06T20:12'],[21.86],[0.0],[0.0],[0.0],[0.0],[10.1],[20.5],[167],[3.57]
['2022-04-13'],[15.5],[10.3],[15.2],[8.8],['2022-04-13T05:44'],['2022-04-13T19:34'],[6.58],[4.4],[4.4],[0.0],[10.0],[14.4],[22.3],[204],[1.27]
['2022-10-25'],[16.7],[10.7],[15.3],[8.9],['2022-10-25T07:19'],['2022-10-25T17:26'],[6.94],[0.0],[0.0],[0.0],[0.0],[21.6],[39.2],[239],[1.05]
['2022-06-23'],[29.5],[15.3],[31.0],[13.8],['2022-06-23T04:18'],['2022-06-23T21:04'],[25.56],[0.0],[0.0],[0.0],[0.0],[13.0],[34.6],[331],[5.38]
['2022-11-25'],[11.4],[5.4],[8.8],[2.5],['2022-11-25T08:12'],['2022-11-25T16:39'],[3.76],[5.9],[5.9],[0.0],[12.0],[20.4],[40.0],[228],[0.52]
['2022-09-09'],[18.7],[14.1],[17.3],[13.2],['2022-09-09T06:02'],['2022-09-09T19:10'],[10.22],[2.8],[2.8],[0.0],[6.0],[24.6],[54.0],[254],[1.75]
['2022-09-26'],[12.7],[10.5],[10.7],[7.1],['2022-09-26T06:30'],['2022-09-26T18:30'],[2.71],[8.3],[8.3],[0.0],[19.0],[27.5],[48.6],[230],[0.73]
['2022-03-15'],[12.5],[5.1],[10.9],[2.6],['2022-03-15T06:51'],['2022-03-15T18:44'],[10.12],[0.0],[0.0],[0.0],[0.0],[10.1],[18.4],[303],[1.39]
['2022-10-27'],[20.3],[13.1],[19.4],[11.1],['2022-10-27T07:22'],['2022-10-27T17:22'],[5.05],[3.1],[3.1],[0.0],[7.0],[18.1],[34.2],[280],[1.29]
['2022-10-27'],[20.3],[13.1],[19.4],[11.1],['2022-10-27T07:22'],['2022-10-27T17:22'],[5.05],[3.1],[3.1],[0.0],[7.0],[18.1],[34.2],[280],[1.29]
['2022-06-23'],[29.5],[15.3],[31.1],[13.9],['2022-06-23T04:18'],['2022-06-23T21:03'],[25.56],[0.0],[0.0],[0.0],[0.0],[13.0],[34.6],[331],[5.41]
['2022-03-31'],[5.1],[1.3],[1.4],[-3.8],['2022-03-31T06:14'],['2022-03-31T19:12'],[7.57],[10.5],[8.3],[1.54],[23.0],[23.2],[41.8],[76],[0.79]
['2022-07-08'],[23.3],[10.4],[22.8],[9.2],['2022-07-08T04:28'],['2022-07-08T20:59'],[19.52],[0.2],[0.2],[0.0],[1.0],[13.4],[31.3],[150],[3.65]
['2021-10-06'],[14.8],[10.5],[12.6],[6.4],['2021-10-06T06:46'],['2021-10-06T18:06'],[6.75],[9.1],[9.1],[0.0],[15.0],[26.8],[50.0],[247],[1.0]
['2022-10-28'],[21.4],[13.6],[20.6],[13.2],['2022-10-28T07:24'],['2022-10-28T17:21'],[5.27],[1.7],[1.7],[0.0],[3.0],[17.8],[39.6],[243],[1.34]
['2022-09-07'],[24.1],[15.8],[23.8],[15.7],['2022-09-07T05:59'],['2022-09-07T19:14'],[14.07],[5.7],[5.7],[0.0],[10.0],[20.5],[39.2],[225],[2.61]
['2022-09-14'],[16.1],[12.7],[16.1],[12.1],['2022-09-14T06:10'],['2022-09-14T18:58'],[4.06],[7.1],[7.1],[0.0],[18.0],[13.8],[23.4],[58],[0.83]
